"camis","dba","boro","cuisine_description","inspection_date","action","critical_flag","score","grade","inspection_type","violation_description"
"41594415","FOUR & TWENTY BLACKBIRDS","Manhattan","Bakery Products/Desserts","2023-05-19T00:00:00.000","Violations were cited in the following area(s).","Critical","23",,"Cycle Inspection / Initial Inspection","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred."
"41496506","WHITMAN'S","Manhattan","American","2025-10-21T00:00:00.000","Violations were cited in the following area(s).","Not Critical","18","B","Cycle Inspection / Re-inspection","Contract with a pest management professional not in place. Record of extermination activities not kept on premises."
"40856342","NICKY'S JAMAICAN CUISINE","Brooklyn","Caribbean","2024-11-13T00:00:00.000","Violations were cited in the following area(s).","Not Critical","13","A","Cycle Inspection / Re-inspection","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests."
"50160952","King Chef","Bronx","Chinese","2025-04-10T00:00:00.000","Violations were cited in the following area(s).","Critical","13","A","Pre-permit (Operational) / Initial Inspection","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor."
"50100300","BUTTERLY BAKESHOP","Brooklyn","Bakery Products/Desserts","2023-05-31T00:00:00.000","Violations were cited in the following area(s).","Not Critical","10",,"Cycle Inspection / Initial Inspection","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests."
"41554670","MORGAN STANLEY EMPLOYEE CAFETERIA","Manhattan","American","2023-05-26T00:00:00.000","Violations were cited in the following area(s).","Critical","11","A","Cycle Inspection / Initial Inspection","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred."
"50143074","WEI FORT GREENE","Brooklyn","Chinese","2025-12-16T00:00:00.000","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","Not Critical","53",,"Cycle Inspection / Initial Inspection","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of."
"50072200","THAI 72","Manhattan","Thai","2024-07-03T00:00:00.000","Violations were cited in the following area(s).","Critical","24",,"Cycle Inspection / Initial Inspection","Evidence of rats or live rats in establishment's food or non-food areas."
"50141902","NEW SKY BAKERYLAND","Brooklyn","Chinese","2025-05-07T00:00:00.000","Violations were cited in the following area(s).","Critical","37",,"Cycle Inspection / Initial Inspection","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred."
"50129397","BY CLIO BAKERY","Brooklyn","Bakery Products/Desserts","2026-04-02T00:00:00.000","Violations were cited in the following area(s).","Not Critical","6","A","Cycle Inspection / Initial Inspection","Food adulterated or misbranded. Adulterated or misbranded food possessed, being manufactured, produced, packed, sold, offered for sale, delivered or given away"
